TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Squatina squatina,Angelshark,Lines Non-tuna,low,non-destructive,600736,Large sharks (>=90 cm),pelagic
Lethrinus microdon,Smalltooth emperor,Lines Non-tuna,low,non-destructive,601845,Medium reef assoc. fish (30 - 89 cm),pelagic
Muraena helena,Mediterranean moray,Trawl,high,destructive,601729,Large reef assoc. fish (>=90 cm),demersal
Pomadasys argenteus,Silver grunt,Lines Non-tuna,low,non-destructive,600399,Medium demersals (30 - 89 cm),demersal
Gadiformes,Cods,Longline Non-tuna,high,non-destructive,300044,Large bathypelagics (>=90 cm),pelagic
Atule mate,Yellowtail scad,Purse seine Non-tuna,low,non-destructive,601893,Small pelagics (<30 cm),pelagic
Atheresthes evermanni,Kamchatka flounder,Trawl,high,destructive,600518,Large flatfishes (>=90 cm),demersal
Liza saliens,Leaping mullet,Gillnet,high,non-destructive,601736,Medium demersals (30 - 89 cm),demersal
Scolopsis taeniatus,Black-streaked monocle bream,Trawl,high,destructive,NA,NA,demersal
Euphausia superba,Antarctic krill,Trawl midwater,high,non-destructive,690016,Krill,pelagic
Menticirrhus,Kingcroakers,Trap,high,non-destructive,502790,Medium demersals (30 - 89 cm),demersal
Argyrosomus hololepidotus,Southern meagre,Gillnet,high,non-destructive,600419,Large demersals (>=90 cm),demersal
Paphies australis,Pipi wedge clam,Dredge,high,destructive,690688,Other demersal invertebrates,demersal
Merluccius gayi peruanus,Peruvian hake,Trawl,high,destructive,614693,Medium bathydemersals (30 - 89 cm),demersal
Acanthopagrus berda,Picnic seabream,Trawl midwater,high,non-destructive,605526,Medium demersals (30 - 89 cm),pelagic
Caranx sexfasciatus,Bigeye trevally,Seine,high,non-destructive,601917,Large reef assoc. fish (>=90 cm),pelagic
Pontinus kuhlii,Offshore rockfish,Gillnet,high,non-destructive,605007,Medium bathydemersals (30 - 89 cm),demersal
Selene setapinnis,Atlantic moonfish,Gillnet,high,non-destructive,600378,Medium demersals (30 - 89 cm),demersal
Hippoglossoides elassodon,Flathead sole,Lines Non-tuna,low,non-destructive,600519,Small to medium flatfishes (<90 cm),demersal
Microstomus pacificus,Dover sole,Trawl,high,destructive,604247,Small to medium flatfishes (<90 cm),demersal
Thenus orientalis,Flathead lobster,Dredge,high,destructive,690681,"Lobsters, crabs",demersal
Oncorhynchus mykiss,Rainbow trout,Purse seine Non-tuna,low,non-destructive,600239,Large benthopelagics (>=90 cm),pelagic
Asteroidea,Sea stars,Trap,high,non-destructive,390010,Other demersal invertebrates,demersal
Epigonus telescopus,Bulls-eye,Gillnet,high,non-destructive,602508,Medium bathydemersals (30 - 89 cm),demersal
Ophichthidae,Snake eels,Trawl midwater,high,non-destructive,400066,Medium demersals (30 - 89 cm),pelagic
Paralonchurus peruanus,Peruvian banded croaker,Trawl,high,destructive,600424,Medium demersals (30 - 89 cm),demersal
Lepidorhombus whiffiagonis,Megrim,Gillnet,high,non-destructive,600028,Small to medium flatfishes (<90 cm),demersal
Peprilus paru,American harvestfish,Trawl midwater,high,non-destructive,628143,Small benthopelagics (<30 cm),pelagic
Chimaera monstrosa,Rabbit fish,Trawl,high,destructive,602503,Large rays (>=90 cm),demersal
Sphyrna,Hammerhead sharks,Trawl midwater,high,non-destructive,500693,Large sharks (>=90 cm),pelagic
Lutjanus guttatus,Spotted rose snapper,Lines Non-tuna,low,non-destructive,600152,Medium reef assoc. fish (30 - 89 cm),pelagic
Plectropomus areolatus,Squaretail coralgrouper,Gillnet,high,non-destructive,606082,Medium reef assoc. fish (30 - 89 cm),pelagic
Gymnothorax,Gymnothorax,Gillnet,high,non-destructive,500384,Large reef assoc. fish (>=90 cm),pelagic
Plectropomus areolatus,Squaretail coralgrouper,Other,low,non-destructive,606082,Medium reef assoc. fish (30 - 89 cm),pelagic
King crabs squat-lobsters,Craylets squat lobsters,Seine,high,non-destructive,NA,NA,demersal
Acanthopagrus berda,Picnic seabream,Longline Non-tuna,high,non-destructive,605526,Medium demersals (30 - 89 cm),demersal
Diplodus vulgaris,Common two-banded seabream,Trawl midwater,high,non-destructive,601754,Medium benthopelagics (30 - 89 cm),pelagic
Ibacus ciliatus,Sand Crayfish,Trap,high,non-destructive,690611,"Lobsters, crabs",demersal
Sebastes pinniger,Canary rockfish,Trawl,high,destructive,603989,Medium reef assoc. fish (30 - 89 cm),demersal
Seriolella punctata,Silver warehou,Purse seine Non-tuna,low,non-destructive,612922,Medium benthopelagics (30 - 89 cm),pelagic
Farfantepenaeus brasiliensis,Redspotted shrimp,Trawl,high,destructive,690327,Shrimps,demersal
Zearaja nasuta,New Zealand rough skate,Trawl,high,destructive,613144,Large rays (>=90 cm),demersal
Ostrea chilensis,Chilean flat oyster,Dredge,high,destructive,690075,Other demersal invertebrates,demersal
Lamniformes,Mackerel sharks,Trawl,high,destructive,300007,Large sharks (>=90 cm),demersal
Pleuronectes quadrituberculatus,Alaska plaice,Longline Non-tuna,high,non-destructive,604250,Small to medium flatfishes (<90 cm),demersal
Loligo forbesii,Veined Squid,Lines Non-tuna,low,non-destructive,690595,Cephalopods,pelagic
Mola mola,Ocean sunfish,Purse seine Non-tuna,low,non-destructive,601732,Large pelagics (>=90 cm),pelagic
Cephalopoda,Cephalopods,Purse seine Non-tuna,low,non-destructive,290002,Cephalopods,pelagic
Ophichthidae,Snake eels,Gillnet,high,non-destructive,400066,Medium demersals (30 - 89 cm),demersal
Miscellaneous diadromous fishes,Diadromous fishes,Lines Non-tuna,low,non-destructive,100025,Large demersals (>=90 cm),demersal
Mustelus henlei,Brown smooth-hound,Trawl,high,destructive,602540,Small to medium sharks (<90 cm),demersal
Pterogymnus laniarius,Panga seabream,Trawl,high,destructive,600448,Medium benthopelagics (30 - 89 cm),demersal
Carcinus maenas,Green crab,Seine,high,non-destructive,690158,"Lobsters, crabs",demersal
Venus verrucosa,Warty venus,Dredge,high,destructive,690693,Other demersal invertebrates,demersal
Sebastes goodei,Chilipepper,Lines Non-tuna,low,non-destructive,603971,Medium demersals (30 - 89 cm),demersal
Pampus,Silver pomfrets,Trawl,high,destructive,520007,Medium benthopelagics (30 - 89 cm),demersal
Coregonus autumnalis,Arctic cisco,Trawl midwater,high,non-destructive,602669,Medium pelagics (30 - 89 cm),pelagic
Cephalopholis boenak,Chocolate hind,Trawl,high,destructive,606444,Small reef assoc. fish (<30 cm),demersal
Coregonus oxyrinchus,Houting,Other,low,non-destructive,600233,Medium demersals (30 - 89 cm),demersal
Dentex maroccanus,Morocco dentex,Gillnet,high,non-destructive,604538,Medium demersals (30 - 89 cm),demersal
Morone americana,White perch,Seine,high,non-destructive,600355,Medium demersals (30 - 89 cm),demersal
Pontinus kuhlii,Offshore rockfish,Trawl,high,destructive,605007,Medium bathydemersals (30 - 89 cm),demersal
Belone,Needlefishes,Gillnet,high,non-destructive,500871,Medium pelagics (30 - 89 cm),pelagic
Cheilinus undulatus,Humphead wrasse,Gillnet,high,non-destructive,605604,Large reef assoc. fish (>=90 cm),pelagic
Thunnus,Tuna,Purse seine Non-tuna,low,non-destructive,501905,Large pelagics (>=90 cm),pelagic
Lophius budegassa,Black-bellied angler,Trawl,high,destructive,605094,Large bathydemersals (>=90 cm),demersal
Miscellaneous diadromous fishes,Diadromous fishes,Gillnet,high,non-destructive,100025,Large demersals (>=90 cm),demersal
Lethrinus microdon,Smalltooth emperor,Gillnet,high,non-destructive,601845,Medium reef assoc. fish (30 - 89 cm),pelagic
Scorpaena porcus,Black scorpionfish,Trawl midwater,high,non-destructive,601758,Small demersals (<30 cm),pelagic
Ophichthidae,Snake eels,Trawl,high,destructive,400066,Medium demersals (30 - 89 cm),demersal
Menticirrhus,Kingcroakers,Lines Non-tuna,low,non-destructive,502790,Medium demersals (30 - 89 cm),demersal
Cheimerius nufar,Santer seabream,Lines Non-tuna,low,non-destructive,600444,Medium reef assoc. fish (30 - 89 cm),pelagic
Raja brachyura,Blonde ray,Seine,high,non-destructive,604552,Large rays (>=90 cm),pelagic
Sargocentron spiniferum,Sabre squirrelfish,Gillnet,high,non-destructive,606507,Medium reef assoc. fish (30 - 89 cm),pelagic
Mya arenaria,Sand gaper,Trap,high,non-destructive,690337,Other demersal invertebrates,demersal
Anodontostoma chacunda,Chacunda gizzard shad,Purse seine Non-tuna,low,non-destructive,601619,Small pelagics (<30 cm),pelagic
Lethrinus obsoletus,Orange-striped emperor,Trap,high,non-destructive,601847,Medium demersals (30 - 89 cm),demersal
Galeoides decadactylus,Lesser African threadfin,Gillnet,high,non-destructive,600341,Medium demersals (30 - 89 cm),demersal
Trachichthyidae,Slimeheads,Trawl,high,destructive,400236,Medium bathypelagics (30 - 89 cm),demersal
Bothus pantherinus,Leopard flounder,Trawl,high,destructive,601321,Small to medium flatfishes (<90 cm),demersal
Zeidae,Dories,Trawl,high,destructive,400249,Medium bathydemersals (30 - 89 cm),demersal
Scophthalmidae,Turbots,Lines Non-tuna,low,non-destructive,400515,Small to medium flatfishes (<90 cm),demersal
Decapterus russelli,Indian scad,Trap,high,non-destructive,600374,Medium pelagics (30 - 89 cm),demersal
Epinephelus merra,Honeycomb grouper,Other,low,non-destructive,604923,Small reef assoc. fish (<30 cm),pelagic
Caproidae,Boarfishes,Gillnet,high,non-destructive,400252,Small bathydemersals (<30 cm),demersal
Halobatrachus didactylus,Lusitanian toadfish,Gillnet,high,non-destructive,605429,Medium demersals (30 - 89 cm),demersal
Trachichthyidae,Slimeheads,Lines Non-tuna,low,non-destructive,400236,Medium bathypelagics (30 - 89 cm),pelagic
Jasus novaehollandiae,Southern rock lobster,Trap,high,non-destructive,NA,NA,demersal
Psettodes belcheri,Spottail spiny turbot,Lines Non-tuna,low,non-destructive,604504,Small to medium flatfishes (<90 cm),demersal
Lycodes,Eelpouts,Gillnet,high,non-destructive,501486,Medium bathydemersals (30 - 89 cm),demersal
Mycteroperca bonaci,Black grouper,Lines Non-tuna,low,non-destructive,601209,Large reef assoc. fish (>=90 cm),pelagic
Halobatrachus didactylus,Lusitanian toadfish,Lines Non-tuna,low,non-destructive,605429,Medium demersals (30 - 89 cm),demersal
Paristiopterus labiosus,Giant boarfish,Lines Non-tuna,low,non-destructive,612354,Medium demersals (30 - 89 cm),demersal
Lutjanus malabaricus,Malabar blood snapper,Lines Non-tuna,low,non-destructive,600162,Medium reef assoc. fish (30 - 89 cm),pelagic
Epinephelus coioides,Orange-spotted grouper,Lines Non-tuna,low,non-destructive,606465,Large reef assoc. fish (>=90 cm),pelagic
Lepidopsetta bilineata,Rock sole,Lines Non-tuna,low,non-destructive,624237,Small to medium flatfishes (<90 cm),demersal
Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead,Lines Non-tuna,low,non-destructive,604964,Medium benthopelagics (30 - 89 cm),pelagic
Totoaba macdonaldi,Totoaba,Lines Non-tuna,low,non-destructive,606317,Large benthopelagics (>=90 cm),pelagic
Squatina squatina,Angelshark,Trawl,high,destructive,600736,Large sharks (>=90 cm),demersal
Lutjanus vivanus,Silk snapper,Trawl midwater,high,non-destructive,600185,Medium demersals (30 - 89 cm),pelagic
Tonna galea,Helmet ton,Other,low,non-destructive,690750,Other demersal invertebrates,demersal
Engraulis ringens,Anchoveta,Lines Non-tuna,low,non-destructive,600004,Small pelagics (<30 cm),pelagic
Nemadactylus macropterus,Tarakihi,Trawl,high,destructive,610106,Medium demersals (30 - 89 cm),demersal
Moridae,Codlings,Trawl,high,destructive,400180,Medium benthopelagics (30 - 89 cm),demersal
Ambassidae,Asiatic glassfishes,Trawl,high,destructive,400509,Small demersals (<30 cm),demersal
Chloroscombrus chrysurus,Atlantic bumper,Trawl,high,destructive,600385,Medium pelagics (30 - 89 cm),demersal
Epinephelus mystacinus,Misty grouper,Trawl,high,destructive,NA,NA,demersal
Merluccius gayi peruanus,Peruvian hake,Lines Non-tuna,low,non-destructive,614693,Medium bathydemersals (30 - 89 cm),demersal
Lepidonotothen mizops,Toad notothen,Lines Non-tuna,low,non-destructive,607046,Small benthopelagics (<30 cm),pelagic
Myxinidae,Hagfishes,Lines Non-tuna,low,non-destructive,400002,Medium bathydemersals (30 - 89 cm),demersal
Trematomus,Antarctic rockcods,Lines Non-tuna,low,non-destructive,509366,Large reef assoc. fish (>=90 cm),pelagic
Coregonus nasus,Broad whitefish,Purse seine Non-tuna,low,non-destructive,602674,Medium demersals (30 - 89 cm),pelagic
Chelidonichthys lucerna,Tub gurnard,Other,low,non-destructive,601366,Medium demersals (30 - 89 cm),demersal
Acanthopagrus schlegelii schlegelii,Black porgy,Trawl midwater,high,non-destructive,NA,NA,pelagic
Pecten jacobaeus,Great Mediterranean scallop,Dredge,high,destructive,690157,Other demersal invertebrates,demersal
Sebastes flavidus,Yellowtail rockfish,Lines Non-tuna,low,non-destructive,600503,Medium reef assoc. fish (30 - 89 cm),pelagic
Lutjanus vivanus,Silk snapper,Trawl,high,destructive,600185,Medium demersals (30 - 89 cm),demersal
Cheimerius nufar,Santer seabream,Trawl,high,destructive,600444,Medium reef assoc. fish (30 - 89 cm),demersal
Apostichopus japonicus,Japanese sea cucumber,Trap,high,non-destructive,690201,Other demersal invertebrates,demersal
Chlamys varia,Variegated scallop,Other,low,non-destructive,NA,NA,demersal
Anchoa hepsetus,Broad-striped anchovy,Gillnet,high,non-destructive,601133,Small pelagics (<30 cm),pelagic
Pyura stolonifera,Red bait,Dredge,high,destructive,690318,Other demersal invertebrates,demersal
Caulolatilus chrysops,Atlantic goldeye tilefish,Seine,high,non-destructive,600983,Medium demersals (30 - 89 cm),demersal
Pagrus auriga,Redbanded seabream,Trawl midwater,high,non-destructive,605066,Medium benthopelagics (30 - 89 cm),pelagic
Belone,Needlefishes,Purse seine Non-tuna,low,non-destructive,500871,Medium pelagics (30 - 89 cm),pelagic
Cephalopholis hemistiktos,Yellowfin hind,Trap,high,non-destructive,606447,Medium reef assoc. fish (30 - 89 cm),demersal
Echeneidae,Remoras,Purse seine Non-tuna,low,non-destructive,400313,Large pelagics (>=90 cm),pelagic
Carcharias taurus,Sand tiger shark,Gillnet,high,non-destructive,600747,Large sharks (>=90 cm),pelagic
Limanda aspera,Yellowfin sole,Longline Non-tuna,high,non-destructive,600520,Small to medium flatfishes (<90 cm),demersal
Trachurus capensis,Cape horse mackerel,Lines Non-tuna,low,non-destructive,605382,Medium pelagics (30 - 89 cm),pelagic
Aethaloperca rogaa,Redmouth grouper,Gillnet,high,non-destructive,606441,Medium reef assoc. fish (30 - 89 cm),pelagic
Trigla,Gurnards,Trawl,high,destructive,500144,Medium bathydemersals (30 - 89 cm),demersal
Joturus pichardi,Bobo mullet,Gillnet,high,non-destructive,600338,Medium pelagics (30 - 89 cm),pelagic
Cottidae,Sculpins,Gillnet,high,non-destructive,400277,Large reef assoc. fish (>=90 cm),pelagic
Aspitrigla cuculus,East Atlantic red gurnard,Lines Non-tuna,low,non-destructive,NA,NA,pelagic
Lithognathus lithognathus,White steenbras,Trawl midwater,high,non-destructive,600450,Large benthopelagics (>=90 cm),pelagic
Notoscopelus,Lampfish,Gillnet,high,non-destructive,503328,Small pelagics (<30 cm),pelagic
Pomadasys incisus,Bastard grunt,Trawl midwater,high,non-destructive,605003,Medium demersals (30 - 89 cm),pelagic
Carangoides fulvoguttatus,Yellowspotted trevally,Lines Non-tuna,low,non-destructive,601926,Large reef assoc. fish (>=90 cm),pelagic
Chrysoblephus,Seabreams,Trawl midwater,high,non-destructive,501548,Medium demersals (30 - 89 cm),pelagic
Triakidae,Houndsharks,Gillnet,high,non-destructive,400488,Large sharks (>=90 cm),pelagic
Channichthys rhinoceratus,Unicorn icefish,Trawl,high,destructive,600477,Medium demersals (30 - 89 cm),demersal
Arripis georgianus,Australian ruff,Trawl midwater,high,non-destructive,600392,Medium pelagics (30 - 89 cm),pelagic
Lethrinus harak,Thumbprint emperor,Gillnet,high,non-destructive,601851,Medium reef assoc. fish (30 - 89 cm),pelagic
Pagrus caeruleostictus,Bluespotted seabream,Trawl midwater,high,non-destructive,604540,Large benthopelagics (>=90 cm),pelagic
Cervimunida johni,Carrot Squat Lobster,Dredge,high,destructive,690606,"Lobsters, crabs",demersal
Platichthys stellatus,Starry flounder,Trawl,high,destructive,604249,Small to medium flatfishes (<90 cm),demersal
Serranus,Groupers,Trawl,high,destructive,500901,Small reef assoc. fish (<30 cm),demersal
Diplectrum formosum,Sand seabass,Lines Non-tuna,low,non-destructive,601203,Small demersals (<30 cm),demersal
Octopodidae,Octopuses,Gillnet,high,non-destructive,490012,Cephalopods,pelagic
Monotaxis grandoculis,Humpnose big-eye bream,Gillnet,high,non-destructive,601869,Medium reef assoc. fish (30 - 89 cm),pelagic
Argyrozona argyrozona,Carpenter seabream,Lines Non-tuna,low,non-destructive,600443,Medium benthopelagics (30 - 89 cm),pelagic
Gerres nigri,Guinean striped mojarra,Trawl,high,destructive,609907,Small benthopelagics (<30 cm),demersal
Acanthopagrus bifasciatus,Twobar seabream,Trawl,high,destructive,604543,Medium reef assoc. fish (30 - 89 cm),demersal
Umbrina canariensis,Canary drum,Lines Non-tuna,low,non-destructive,604548,Medium demersals (30 - 89 cm),demersal
Sebastolobus alascanus,Shortspine thornyhead,Lines Non-tuna,low,non-destructive,604009,Medium bathydemersals (30 - 89 cm),demersal
Dussumieria elopsoides,Slender rainbow sardine,Trawl,high,destructive,601454,Small pelagics (<30 cm),demersal
Micropogonias,Western croakers,Gillnet,high,non-destructive,501327,Medium demersals (30 - 89 cm),demersal
Caranx crysos,Blue runner,Purse seine Non-tuna,low,non-destructive,601933,Medium pelagics (30 - 89 cm),pelagic
Peprilus simillimus,Pacific pompano,Trawl,high,destructive,600493,Small benthopelagics (<30 cm),demersal
Sebastes viviparus,Norway redfish,Lines Non-tuna,low,non-destructive,601352,Medium demersals (30 - 89 cm),demersal
Mola mola,Ocean sunfish,Purse seine Tuna,low,non-destructive,601732,Large pelagics (>=90 cm),pelagic
Spisula,Surf clam,Trap,high,non-destructive,590146,Other demersal invertebrates,demersal
Lepas,Goose barnacles,Dredge,high,destructive,590107,Other demersal invertebrates,demersal
Engraulis anchoita,Argentine anchoita,Lines Non-tuna,low,non-destructive,601659,Small pelagics (<30 cm),pelagic
Lethrinus atlanticus,Atlantic emperor,Lines Non-tuna,low,non-destructive,601867,Medium reef assoc. fish (30 - 89 cm),pelagic
Ammodytidae,Sand lances,Lines Non-tuna,low,non-destructive,400402,Large reef assoc. fish (>=90 cm),pelagic
Stenodus leucichthys,Inconnu,Trap,high,non-destructive,602692,Large demersals (>=90 cm),demersal
Upogebia pugettensis,Blue mud shrimp,Trap,high,non-destructive,690665,"Lobsters, crabs",demersal
Pristiophorus,Sawsharks,Trawl,high,destructive,501464,Large sharks (>=90 cm),demersal
Gadiformes,Cods,Purse seine Non-tuna,low,non-destructive,300044,Large bathypelagics (>=90 cm),pelagic
Morone americana,White perch,Purse seine Non-tuna,low,non-destructive,600355,Medium demersals (30 - 89 cm),pelagic
Lepidonotothen mizops,Toad notothen,Trawl midwater,high,non-destructive,607046,Small benthopelagics (<30 cm),pelagic
Clinocardium nuttallii,Nuttall cockle,Other,low,non-destructive,690651,Other demersal invertebrates,demersal
Pleuroncodes monodon,Squat Lobster,Dredge,high,destructive,690624,"Lobsters, crabs",demersal
Microgadus tomcod,Atlantic tomcod,Purse seine Non-tuna,low,non-destructive,600316,Medium demersals (30 - 89 cm),demersal
Teuthida,Squids,Trap,high,non-destructive,390002,Cephalopods,demersal
Pagellus bogaraveo,Blackspot seabream,Seine,high,non-destructive,600890,Medium benthopelagics (30 - 89 cm),pelagic
Lepidonotothen nudifrons,Gaudy notothen,Gillnet,high,non-destructive,607047,Small demersals (<30 cm),demersal
Bolbometopon muricatum,Green humphead parrotfish,Trawl,high,destructive,605537,Large reef assoc. fish (>=90 cm),demersal
Alosa mediocris,Hickory shad,Gillnet,high,non-destructive,601582,Medium pelagics (30 - 89 cm),pelagic
Dentex maroccanus,Morocco dentex,Trawl,high,destructive,604538,Medium demersals (30 - 89 cm),demersal
Ostraciidae,Boxfishes (cowfish and trunkfish),Lines Non-tuna,low,non-destructive,400446,Medium reef assoc. fish (30 - 89 cm),pelagic
Borostomias antarcticus,Borostomias antarcticus,Lines Non-tuna,low,non-destructive,605098,Medium bathypelagics (30 - 89 cm),pelagic
Lutjanus kasmira,Common bluestripe snapper,Gillnet,high,non-destructive,600156,Medium reef assoc. fish (30 - 89 cm),pelagic
Centroselachus crepidater,Longnose velvet dogfish,Trawl,high,destructive,NA,NA,demersal
Microgadus tomcod,Atlantic tomcod,Seine,high,non-destructive,600316,Medium demersals (30 - 89 cm),demersal
Lutjanus campechanus,Northern red snapper,Trawl,high,destructive,601423,Medium reef assoc. fish (30 - 89 cm),demersal
Trachinotus mookalee,Indian pompano,Trawl midwater,high,non-destructive,601964,Medium demersals (30 - 89 cm),pelagic
Calamus bajonado,Jolthead porgy,Gillnet,high,non-destructive,601221,Medium reef assoc. fish (30 - 89 cm),pelagic
Girella nigricans,Opaleye,Trawl midwater,high,non-destructive,603594,Medium demersals (30 - 89 cm),pelagic
Trachinotus blochii,Snubnose pompano,Trap,high,non-destructive,601963,Large reef assoc. fish (>=90 cm),demersal
Taractichthys steindachneri,Sickle pomfret,Lines Non-tuna,low,non-destructive,603561,Medium benthopelagics (30 - 89 cm),pelagic
Mugil,Grey mullets,Trawl,high,destructive,500152,Medium demersals (30 - 89 cm),demersal
Opisthonema libertate,Pacific thread herring,Trawl,high,destructive,601484,Small pelagics (<30 cm),demersal
Sclerocrangon,Sculptured shrimps,Trawl,high,destructive,590260,Shrimps,demersal
Microgadus proximus,Pacific tomcod,Trawl midwater,high,non-destructive,601879,Medium demersals (30 - 89 cm),demersal
Trachinotus mookalee,Indian pompano,Gillnet,high,non-destructive,601964,Medium demersals (30 - 89 cm),demersal
Galeus,Catsharks,Trawl,high,destructive,500640,Small to medium sharks (<90 cm),demersal
Sarda orientalis,Striped bonito,Purse seine Tuna,low,non-destructive,600114,Large pelagics (>=90 cm),pelagic
Paralichthys californicus,California flounder,Trawl,high,destructive,604228,Large flatfishes (>=90 cm),demersal
Stomatopoda,Mantis shrimps,Trawl,high,destructive,390017,Shrimps,demersal
Liza aurata,Golden grey mullet,Lines Non-tuna,low,non-destructive,601735,Medium pelagics (30 - 89 cm),pelagic
Thunnus orientalis,Pacific bluefin tuna,Pole and Line Tuna,low,non-destructive,614290,Large pelagics (>=90 cm),pelagic
Allocyttus niger,Black oreo,Trawl,high,destructive,612962,Medium bathypelagics (30 - 89 cm),demersal
Tapes rhomboides,Banded carpet shell,Dredge,high,destructive,690675,Other demersal invertebrates,demersal
Centrolophidae,Medusafishes,Lines Non-tuna,low,non-destructive,400421,Medium pelagics (30 - 89 cm),pelagic
Conger oceanicus,American conger,Lines Non-tuna,low,non-destructive,600300,Large demersals (>=90 cm),demersal
Dicentrarchus labrax,European seabass,Gillnet,high,non-destructive,600063,Large demersals (>=90 cm),demersal
Pelates quadrilineatus,Fourlined terapon,Gillnet,high,non-destructive,607945,Small pelagics (<30 cm),pelagic
Thalassoma pavo,Ornate wrasse,Lines Non-tuna,low,non-destructive,602500,Small reef assoc. fish (<30 cm),pelagic
Dussumieria elopsoides,Slender rainbow sardine,Trawl midwater,high,non-destructive,601454,Small pelagics (<30 cm),pelagic
Tawera gayi,Gay's little venus,Dredge,high,destructive,690682,Other demersal invertebrates,demersal
Lutjanus quinquelineatus,Five-lined snapper,Trap,high,non-destructive,600172,Medium reef assoc. fish (30 - 89 cm),demersal
Lutjanus vivanus,Silk snapper,Trap,high,non-destructive,600185,Medium demersals (30 - 89 cm),demersal
Beryx decadactylus,Alfonsino,Trawl,high,destructive,601319,Medium bathydemersals (30 - 89 cm),demersal
Leiostomus xanthurus,Spot croaker,Gillnet,high,non-destructive,600429,Medium demersals (30 - 89 cm),demersal
Citharichthys sordidus,Pacific sanddab,Gillnet,high,non-destructive,604215,Small to medium flatfishes (<90 cm),demersal
Stephanolepis cirrhifer,Thread-sail filefish,Lines Non-tuna,low,non-destructive,600531,Small demersals (<30 cm),demersal
Lutjanus griseus,Grey snapper,Other,low,non-destructive,600266,Medium reef assoc. fish (30 - 89 cm),pelagic
Etrumeus whiteheadi,Whiteheads round herring,Gillnet,high,non-destructive,601456,Small pelagics (<30 cm),pelagic
Nematopalaemon schmitti,Whitebelly prawn,Trawl,high,destructive,690694,Shrimps,demersal
Schedophilus pemarco,Pemarco blackfish,Trawl,high,destructive,610190,Medium benthopelagics (30 - 89 cm),demersal
Lutjanus griseus,Grey snapper,Trawl,high,destructive,600266,Medium reef assoc. fish (30 - 89 cm),demersal
Echeneidae,Remoras,Seine,high,non-destructive,400313,Large pelagics (>=90 cm),pelagic
Scomberoides tol,Needlescaled queenfish,Trap,high,non-destructive,601953,Medium pelagics (30 - 89 cm),demersal
Limanda aspera,Yellowfin sole,Lines Non-tuna,low,non-destructive,600520,Small to medium flatfishes (<90 cm),demersal
Aspitrigla cuculus,East Atlantic red gurnard,Trawl midwater,high,non-destructive,NA,NA,pelagic
Cymbium,Gondolas,Dredge,high,destructive,590252,Other demersal invertebrates,demersal
Dentex angolensis,Angola dentex,Gillnet,high,non-destructive,600440,Small demersals (<30 cm),demersal
Epinephelus multinotatus,White-blotched grouper,Lines Non-tuna,low,non-destructive,607354,Medium reef assoc. fish (30 - 89 cm),pelagic
Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead,Trawl midwater,high,non-destructive,604964,Medium benthopelagics (30 - 89 cm),pelagic
Microchirus variegatus,Thickback sole,Trawl,high,destructive,600032,Small to medium flatfishes (<90 cm),demersal
Trachinotus mookalee,Indian pompano,Trawl,high,destructive,601964,Medium demersals (30 - 89 cm),demersal
Atule mate,Yellowtail scad,Trap,high,non-destructive,601893,Small pelagics (<30 cm),demersal
Merluccius angustimanus,Panama hake,Trawl midwater,high,non-destructive,601827,Medium demersals (30 - 89 cm),pelagic
Odontesthes regia,Silverside,Seine,high,non-destructive,608172,Small pelagics (<30 cm),pelagic
Menticirrhus littoralis,Gulf kingcroaker,Gillnet,high,non-destructive,600411,Medium demersals (30 - 89 cm),demersal
Oxynotus paradoxus,Sailfin roughshark,Lines Non-tuna,low,non-destructive,600719,Large sharks (>=90 cm),pelagic
Atule mate,Yellowtail scad,Seine,high,non-destructive,601893,Small pelagics (<30 cm),pelagic
Octopodidae,Octopuses,Trap,high,non-destructive,490012,Cephalopods,demersal
Engraulis ringens,Anchoveta,Gillnet,high,non-destructive,600004,Small pelagics (<30 cm),pelagic
Lepidonotothen nudifrons,Gaudy notothen,Trawl,high,destructive,607047,Small demersals (<30 cm),demersal
Cephalopholis argus,Peacock hind,Gillnet,high,non-destructive,606396,Medium reef assoc. fish (30 - 89 cm),pelagic
Capromimus abbreviatus,Capro dory,Purse seine Non-tuna,low,non-destructive,649232,Small bathydemersals (<30 cm),pelagic
Loligo opalescens,California market squid,Trawl midwater,high,non-destructive,690658,Cephalopods,pelagic
Chirocentrus nudus,Whitefin wolf-herring,Trawl midwater,high,non-destructive,601452,Large pelagics (>=90 cm),pelagic
Epigonus telescopus,Bulls-eye,Purse seine Non-tuna,low,non-destructive,602508,Medium bathydemersals (30 - 89 cm),pelagic
Lobotes surinamensis,Atlantic tripletail,Lines Non-tuna,low,non-destructive,601077,Large benthopelagics (>=90 cm),pelagic
Lepidopsetta bilineata,Rock sole,Gillnet,high,non-destructive,624237,Small to medium flatfishes (<90 cm),demersal
Hyperoglyphe bythites,Black driftfish,Lines Non-tuna,low,non-destructive,603920,Medium pelagics (30 - 89 cm),pelagic
Genypterus maculatus,Black cusk-eel,Trawl,high,destructive,600484,Medium demersals (30 - 89 cm),demersal
Pterygotrigla polyommata,Latchet,Trawl,high,destructive,600508,Medium demersals (30 - 89 cm),demersal
